=== IGA Flyer Fetch — 2026-04-23 ===
Run started : 2026-04-23 13:46:09 UTC

Loaded 271 stores from data/iga/stores.json

Stores loaded: 271
Loaded existing store_flyers.json (811 publication entries)

Phase 1: fetching publications per store…

  [8543] IGA Alimentation J.P.J Martin inc. → ['7893757', '7887347']
  [8544] IGA Supermarché DJS Cousineau inc. → ['7893757', '7887347']
  [8546] IGA Supermarché Crevier (Joliette) Inc. → ['7893767', '7887347']
  [8547] IGA Marche Duchemin et Freres inc. → ['7893759', '7887347']
  [8548] IGA Le Supermarché Le Faubourg → ['7893759', '7887347']
  [8550] IGA EXTRA Gatineau → ['7893757', '7887347']
  [8553] IGA Marché Bélanger inc. → ['7893755', '7887347']
  [8558] IGA familles Rodrigue et Groleau → ['7893753', '7887347']
  [8559] IGA Extra Boisbriand (Sobeys inc.) → ['7893757', '7887347']
  [8561] IGA Alimentation Sylvain Boyer Inc. → ['7893753', '7887347']
  [8568] IGA Extra Famille Pelletier → ['7893753', '7887347']
  [8569] IGA extra Chapdelaine → ['7893767', '7887347']
  [8572] IGA des Sources Cap-Rouge → ['7893759', '7887347']
  [8573] IGA Marché Piché → ['7893757', '7887347']
  [8576] IGA Boutin → ['7893753', '7887347']
  [8577] IGA Veilleux et Filles inc. → ['7893759', '7887347']
  [8578] IGA Coop IGA Amos → ['7893755', '7887347']
  [8580] IGA Régnier → ['7893753', '7887347']
  [8581] IGA Super Marché Primeau et fils inc. → ['7893759', '7887347']
  [8582] IGA Extra Famille Plante → ['7893759', '7887347']
  [8586] IGA Supermarché Donat Thériault Ltée → ['7893755', '7887347']
  [8587] IGA Morin-Heights → ['7893757', '7887347']
  [8589] IGA Alimentation C.C. Sévigny inc. → ['7893771', '7887347']
  [8591] IGA Coteau-du-Lac → ['7893757', '7887347']
  [8593] IGA Alimentation E.F.Y. Caron inc. → ['7893757', '7887347']
  [8599] IGA Marché Gaouette inc. → ['7893757', '7887347']
  [8612] IGA Alimentation C.Verreault → ['7893753', '7887347']
  [8615] IGA Alimentation Famille Gaouette inc. → ['7893757', '7887347']
  [8629] IGA Marche Famille Julien inc. → ['7893755', '7887347']
  [8634] IGA Michaud et fils → ['7893757', '7887347']
  [8639] IGA Super Marché Étop Inc. → ['7893757', '7887347']
  [8643] IGA → ['7893753', '7887347']
  [8644] IGA Supermarché Toppetta inc. → ['7893757', '7887347']
  [8653] 9158-9325 Québec Inc. → ['7893753', '7887347']
  [8661] IGA EXTRA Les Aliments Famille Dézielinc. → ['7893761']
  [8739] IGA Alimentation Claude Sauro → ['7893757', '7887347']
  [8792] IGA COOP #8792 → ['7884018']
  [8793] IGA COOP #8793 → ['7884018']
  [8794] IGA COOP #8794 → ['7884018']

  538 new publication entries across 271 stores
  14 unique new publication(s) to download
  Saved → data/iga/store_flyers.json  (1,717,620 bytes)
New publication entries added to store_flyers.json: 538
Unique new publications to download: 14

Phase 2: fetching products for each new publication…

  [7893753] Quebec  (2026-04-23T00:00:00-04:00 → 2026-04-29T23:59:59-04:00)
    351 products
  Saved → data/iga/flyers/7893753.json  (798,754 bytes)
  [7887347] Themed Brochure  (2026-04-23T00:00:00-04:00 → 2026-04-29T23:59:59-04:00)
    23 products
  Saved → data/iga/flyers/7887347.json  (52,313 bytes)
  [7893757] Quebec  (2026-04-23T00:00:00-04:00 → 2026-04-29T23:59:59-04:00)
    351 products
  Saved → data/iga/flyers/7893757.json  (798,754 bytes)
  [7893820] New Brunswick  (2026-04-23T00:00:00-04:00 → 2026-04-29T23:59:59-04:00)
    338 products
  Saved → data/iga/flyers/7893820.json  (768,536 bytes)
