=== IGA Flyer Fetch — 2026-05-14 ===
Run started : 2026-05-14 13:46:34 UTC

Loaded 271 stores from data/iga/stores.parquet

Stores loaded: 271
Loaded store_flyers.parquet (2956 publication entries)

Phase 1: fetching publications per store…

  [8550] IGA EXTRA Gatineau → ['7926562', '7921346', '7921464', '7911193']
  [8553] IGA Marché Bélanger inc. → ['7926560', '7921346', '7921464', '7911193']
  [8558] IGA familles Rodrigue et Groleau → ['7926558', '7921346', '7921464', '7911193']
  [8559] IGA Extra Boisbriand (Sobeys inc.) → ['7926574', '7921346', '7921464', '7911193']
  [8561] IGA Alimentation Sylvain Boyer Inc. → ['7926558', '7921346', '7921464', '7911193']
  [8568] IGA Extra Famille Pelletier → ['7926558', '7921346', '7921464', '7911193']
  [8569] IGA extra Chapdelaine → ['7926564', '7921346', '7921464', '7911193']
  [8572] IGA des Sources Cap-Rouge → ['7926564', '7921346', '7921464', '7911193']
  [8573] IGA Marché Piché → ['7926562', '7921346', '7921464', '7911193']
  [8576] IGA Boutin → ['7926558', '7921346', '7921464', '7911193']
  [8577] IGA Veilleux et Filles inc. → ['7926564', '7921346', '7921464', '7911193']
  [8578] IGA Coop IGA Amos → ['7926560', '7921346', '7921464', '7911193']
  [8580] IGA Régnier → ['7926558', '7921346', '7921464', '7911193']
  [8581] IGA Super Marché Primeau et fils inc. → ['7926564', '7921346', '7921464', '7911193']
  [8582] IGA Extra Famille Plante → ['7926564', '7921346', '7921464', '7911193']
  [8586] IGA Supermarché Donat Thériault Ltée → ['7926560', '7911193']
  [8587] IGA Morin-Heights → ['7926562', '7921346', '7921464', '7911193']
  [8589] IGA Alimentation C.C. Sévigny inc. → ['7926568', '7921346', '7921464', '7911193']
  [8591] IGA Coteau-du-Lac → ['7926562', '7921346', '7921464', '7911193']
  [8593] IGA Alimentation E.F.Y. Caron inc. → ['7926562', '7921346', '7921464', '7911193']
  [8599] IGA Marché Gaouette inc. → ['7926562', '7921346', '7921464', '7911193']
