=== Walmart Flyer Fetch — 2026-07-02 ===
Run started : 2026-07-02 13:48:55 UTC

Loaded 421 stores from data/walmart/stores.parquet

Stores loaded: 421
Loaded store_flyers.parquet (6339 publication entries)

Phase 1: fetching publications per store…

  1245 new publication entries across 421 stores
  32 unique new publication(s) to download
  Appended 1245 rows to data/walmart/store_flyers.parquet
New publication entries added to store_flyers.parquet: 1245
Unique new publications to download: 32

Phase 2: fetching products for each new publication…

  [8002874] Grocery Flyer  (2026-07-02T00:00:00-04:00 → 2026-07-08T23:59:59-04:00)
    457 products
  [8009319] Grocery Flyer  (2026-07-02T00:00:00-04:00 → 2026-07-15T23:59:59-04:00)
    26 products
  [8006069] Grocery Flyer  (2026-07-02T00:00:00-04:00 → 2026-07-29T23:59:59-04:00)
    107 products
  [8011704] Grocery Flyer  (2026-07-02T00:00:00-04:00 → 2026-07-08T23:59:59-04:00)
    469 products
  [8009322] Grocery Flyer  (2026-07-02T00:00:00-04:00 → 2026-07-15T23:59:59-04:00)
    26 products
  [8006071] Grocery Flyer  (2026-07-02T00:00:00-04:00 → 2026-07-29T23:59:59-04:00)
    107 products
  [8011708] Grocery Flyer  (2026-07-02T02:00:00-04:00 → 2026-07-08T23:59:59-04:00)
    455 products
  [8009326] Grocery Flyer  (2026-07-02T02:00:00-04:00 → 2026-07-15T23:59:59-04:00)
    26 products
  [8006073] Grocery Flyer  (2026-07-02T02:00:00-04:00 → 2026-07-29T23:59:59-04:00)
    109 products
  [8002881] Grocery Flyer  (2026-07-02T02:00:00-04:00 → 2026-07-08T23:59:59-04:00)
    455 products
  [8002882] Grocery Flyer  (2026-07-02T03:00:00-04:00 → 2026-07-08T23:59:59-04:00)
    475 products
  [8009327] Grocery Flyer  (2026-07-02T03:00:00-04:00 → 2026-07-15T23:59:59-04:00)
    26 products
  [8006074] Grocery Flyer  (2026-07-02T03:00:00-04:00 → 2026-07-29T23:59:59-04:00)
    107 products
  [8002876] Grocery Flyer  (2026-07-02T00:00:00-04:00 → 2026-07-08T23:59:59-04:00)
    481 products
  [8009321] Grocery Flyer  (2026-07-02T00:00:00-04:00 → 2026-07-15T23:59:59-04:00)
    26 products
