=== Walmart Flyer Fetch — 2026-09-03 ===
Run started : 2026-09-03 17:11:16 UTC

Loaded 421 stores from data/walmart/stores.parquet

Stores loaded: 421
Loaded store_flyers.parquet (8829 publication entries)

Phase 1: fetching publications per store…

  [3179] Regina East Supercentre → ['8113358', '8110332']
  [3180] Montreal Marche Central → ['8113352', '8110329']
  [3181] Camrose → ['8113359', '8110332']
  [3183] Cranbrook → ['8113360', '8110333']
  [3184] Truro → ['8113354', '8110330']
  [3185] Corner Brook → ['8120549', '8110331']
  [3186] Pickering → ['8120544', '8110328']
  [3188] Langford → ['8113360', '8110333']
  [3189] Laval Ste-Dorothée → ['8113352', '8110329']
  [3190] Saint-Jérôme → ['8113352', '8110329']
  [3191] Whitehorse → no new flyers
  [3194] Red Deer → ['8113359', '8110332']
  [3195] Richmond Hill → ['8113351', '8110328']
  [3196] St. John's → ['8120549', '8110331']
  [3197] St. Thomas → ['8113351', '8110328']
  [3198] Rimouski → ['8113352', '8110329']
  [3199] Quesnel → ['8113360', '8110333']
  [3200] Oakville → ['8113365', '8110328']
  [3635] Scarborough → ['8113351', '8110328']
  [3636] Halifax → ['8120547', '8110330']
  [3637] Spruce Grove → ['8113359', '8110332']
  [3638] Barrhaven → ['8113351', '8110328']
  [3639] Salaberry-de-Valleyfield → ['8113352', '8110329']
  [3640] Cold Lake → ['8120552', '8110332']
  [3642] Saint-Constant → ['8113352', '8110329']
  [3644] Summerside → ['8120548', '8110330']
  [3645] Midland → ['8113351', '8110328']
  [3646] Beauport → ['8113352', '8110329']
  [3647] Shawinigan → ['8113352', '8110329']
  [3649] Fort Erie → ['8113351', '8110328']
  [3650] Calgary → ['8113359', '8110332']
  [3651] Prince George → ['8113360', '8110333']
  [3652] Richmond → ['8113360', '8110333']
  [3653] Uxbridge → ['8120544', '8110328']
  [3654] Mississauga → ['8113351', '8110328']
  [3655] Rivière-du-Loup → ['8113352', '8110329']
  [3656] Montréal-Nord → ['8113352', '8110329']
  [3657] Leduc → ['8113359', '8110332']
  [3658] Brooks → ['8120552', '8110332']
  [3659] Moncton → ['8113353', '8110330']
  [3660] Flin Flon → ['8113357', '8111145']
  [3661] Fort St John → ['8113360', '8110333']
  [3737] Atholville → ['8113353', '8110330']
  [3738] New Minas → ['8120547', '8110330']
  [3739] Victoriaville → ['8120545', '8110329']
  [3740] Rexdale → ['8113351', '8110328']
  [4002] Penguin PickUp - Eastern Ave → ['8113351', '8110328']
  [4006] Penguin PickUp - Cabbagetown → ['8113351', '8110328']
  [4007] Penguin PickUp - Queens Quay → ['8113351', '8110328']
  [4008] Penguin PickUp - Eglinton East → ['8113351', '8110328']
  [4011] Penguin PickUp - Queen West → ['8113351', '8110328']
  [4012] Penguin PickUp - Fashion District → ['8113351', '8110328']
  [4013] Penguin PickUp - Church & Wellesley → ['8113351', '8110328']
  [4014] Penguin PickUp - Peter St → ['8113351', '8110328']
  [4016] Penguin PickUp - Mont Royal → ['8113352', '8110329']
  [4017] Penguin PickUp - Peter St → no new flyers
  [4018] Penguin PickUp - Queen St & University Ave → ['8113351', '8110328']
  [4022] Penguin PickUp - West Broadway → ['8113360', '8110333']
  [4107] Penguin PickUp - Crossroads → ['8113351', '8110328']
  [5708] Okotoks → ['8113359', '8110332']
  [5726] Calgary → ['8120552', '8110332']
  [5742] Bolton → ['8113351', '8110328']
  [5743] Huntsville → ['8113351', '8110328']
  [5752] Simcoe → ['8113351', '8110328']
  [5753] Fort Saskatchewan → ['8113359', '8110332']
  [5776] Dawson Creek → ['8113360', '8110333']
  [5777] New Westminster → ['8113360', '8110333']
  [5778] Aurora → ['8120544', '8110328']
  [5789] Amherst → ['8113354', '8110330']
  [5790] Weyburn → ['8113358', '8110332']
  [5795] Alma → ['8113352', '8110329']
  [5806] Fort Frances → ['8113351', '8110328']
  [5811] Smiths Falls → ['8113351', '8110328']
  [5831] Thornhill (Supercentre) → ['8113351', '8110328']
  [5832] Thetford Mines → ['8113352', '8110329']
  [5833] Miramichi → ['8120546', '8110330']
  [5834] Terrace → ['8113360', '8110333']
  [5838] Surrey → ['8113360', '8110333']
  [5839] Cowansville → ['8113352', '8110329']
  [5853] Surrey → ['8120553', '8110333']
  [5854] Kenora → ['8113351', '8110328']
  [5878] Saskatoon South → ['8113358', '8110332']
  [8123] Penguin PickUp - SSC → no new flyers
  [9051] Wal-Mart Innovation Centre #9051 → no new flyers

  830 new publication entries across 421 stores
  28 unique new publication(s) to download
  Appended 830 rows to data/walmart/store_flyers.parquet
New publication entries added to store_flyers.parquet: 830
Unique new publications to download: 28

Phase 2: fetching products for each new publication…

  [8113351] Grocery Flyer  (2026-09-03T00:00:00-04:00 → 2026-09-09T23:59:59-04:00)
    951 products
  [8110328] Grocery Flyer  (2026-08-27T00:00:00-04:00 → 2026-09-23T23:59:59-04:00)
    70 products
  [8120547] Grocery Flyer  (2026-09-03T00:00:00-04:00 → 2026-09-09T23:59:59-04:00)
    950 products
  [8110330] Grocery Flyer  (2026-08-27T00:00:00-04:00 → 2026-09-23T23:59:59-04:00)
    70 products
  [8120552] Grocery Flyer  (2026-09-03T02:00:00-04:00 → 2026-09-09T23:59:59-04:00)
    948 products
  [8110332] Grocery Flyer  (2026-08-27T02:00:00-04:00 → 2026-09-23T23:59:59-04:00)
    70 products
  [8113359] Grocery Flyer  (2026-09-03T02:00:00-04:00 → 2026-09-09T23:59:59-04:00)
    948 products
  [8113360] Grocery Flyer  (2026-09-03T03:00:00-04:00 → 2026-09-09T23:59:59-04:00)
    947 products
  [8110333] Grocery Flyer  (2026-08-27T03:00:00-04:00 → 2026-09-23T23:59:59-04:00)
    70 products
  [8113353] Grocery Flyer  (2026-09-03T00:00:00-04:00 → 2026-09-09T23:59:59-04:00)
    955 products
  [8113354] Grocery Flyer  (2026-09-03T00:00:00-04:00 → 2026-09-09T23:59:59-04:00)
    950 products
  [8120545] Grocery Flyer  (2026-09-03T00:00:00-04:00 → 2026-09-09T23:59:59-04:00)
    905 products
  [8110329] Grocery Flyer  (2026-08-27T00:00:00-04:00 → 2026-09-23T23:59:59-04:00)
